,src,allophant_src,ref,mBART_machine_label_pred
494,láìrcɛ̀cí ðə́t̪ɾɛ́ t̪ə́màn,rarɟijcivitt̪rɛttəman,They will learn/teach Tira soon (far),They told him to climb down quickly now (far)
495,láírcɛ̀cì t̪rɛ́ t̪ə́màn,lrkikit̪rɛt̪əmman,They will learn/teach Tira soon (far),They learned/taught Tira last year
496,mnà án kìjàt̪à,mənaaŋkat̪a,If you eat...,I am about to see Kalu
497,àɟà kɔ́n,aɟakŋ,Since that time,who did you see?
498,nɛ̀ ŋìcə̀ló,nɛnucilo,he looks good,The nut is good.
499,ŋùbòrùbúrɛ́,bɾabore,looks good,They will climb down
500,àɟà kìcəlò,aɟakəcilo,The time is good,The mat/rug is good.
501,lɔ́mán mnà àɟà kɔ̂ɔ́n nà ká dɛ̀ t̪ówà t̪áníní,lomanmnaajakanakatd̪ət̪ɛwat̪anini,from that day until now,They are eating food and pulling roots now (towards??)
502,núltúmtánì,nolt̪ɔmt̪anɪ,both of them,both of them are fat
503,lìcə̀ló álpùrɔ́ òɾà kícə̀lò ŋàmɽàrɛ̀,leceɾʊalpʊrɔorakeʃelomlare,Their skin looks good and healthy,They learned/taught something yesterday (and left)
504,lìcə̀ló álpùrɔ́ òɾà kícə̀ló ŋàmɽàrɛ̀,iʃilualpʊlooɾakəcilmlare,Their skin looks good and healthy,To scratch the skin is good
505,òrà kícə̀ló,ɾaɡeʃil,?,The shirt is good.
506,lìcə̀ló álpùrɔ́ òɾà kícə́ló ŋàmɽàrɛ̀,lest̪ɪlʊalpolɔalakicɪɾomlaɾe,Their skin looks good and healthy,These wild cats are eating a lot
507,árt̪ɔ́l lə̀kɛ̀lcà àvɟìgɛ̀,art̪ɔllklkarɟɪɡe,Tell them to spread the mat (away),Tell them to tickle Kuku (far)
508,árt̪ɔ́ló lə̀kɛ̀lcà àvɟìgɛ̀,art̪olulakəlcavd̪iɡe,Tell them to spread the mat (away),Tell them to tickle Kuku (far)
509,árt̪ɔ́ló lə̀kɛ̀lcà àvɟìgɛ́ t̪ɔ́wə̀nì,art̪olrekeʃeavɟiɡat̪owɔnɪ,Tell them to spread the mat (away) soon,Tell them to spread the mat now (far)
510,árt̪ɔ́l lə̀kɛ̀lcì àvɟìgɛ̀,iart̪olekəʃiavɟeɡa,Tell them to spread the mat (towards),I am cooking soup for him
511,árt̪ɔ́ló lə̀kɛ̀lcì àvɟìgɛ̀,art̪lolekəlt̪ɪablɪɡe,Tell them to spread the mat (towards),Tell them to pull me towards
512,árt̪ɔ́ló lùrì,art̪alonʊrrɪ,Tell them to climb down (away),Tell them to climb down (towards)
513,áɾt̪ɔ́l lə̀kə̀lcà àvɟìgɛ̂,art̪ollkənsaabɟiɡa,Tell them to spread the mat (towards),Tell them to spread the mat (far)
514,áɾt̪ɔ́l lə̀kə̀lcì àvɟìgɛ̂,art̪əlakəlʃiabjeɡe,Tell them to spread the mat (away),Tell them to tickle me (far)
515,d̪úrú ðɛ́rd̪à,d̪ord̪ed̪at̪,Want to dance! (here),Parts of: You are going to cut the rope
516,áwó t̪ɔ́wə̀nì,aot̪awane,Urinate now!,eat at home now! (far)
517,àwá t̪ɔ́wə̀nì,awat̪one,Urinate now! (far),Wash at home! (far)
518,lǎt̪ì t̪ɔ̀wə̀nì,lat̪ɪt̪oni,They are lost now (and left),They are lost now
519,lát̪ì ùnɛ̀ɾɛ̌,lat̪ɪonare,They were lost yesterday (and left),They were lost yesterday (and left)
520,ídú t̪ɔ́wə̀nì,hidut̪eoni,Fall now!,hid himself now (far)
521,ìdɔ́ t̪ɔ́wə̀nì,idot̪əoni,Fall now! (far),I am about to cook now
522,váɾó t̪ówə̀nì,varot̪one,Escape now!,They are lost now (far)
523,vàɾá t̪ɔ́wə̀nì,varat̪oni,Escape now! (far),he is about to cut the rope now
524,kə́lcácí àvɟìgɛ́,klʃatɪjafɟiɡe,Spread the mat now!,Spread the mat at home now!
525,úrɔ́t̪ɔ́ dùn,orbatodʊ,Climb down at home! (away),Bird nests?
526,ɔ́ɽɔ́ t̪ɔ́wə̀ní,ɔlrət̪oni,Run now!,Fall now! (far)
527,ɛ́lá t̪ɔ́wə̀nì,elat̪ane,Arrive now!,Come in! (far)
528,lɔ́mɔ̀ kárè,lomokarɪ,in the food,The food is inside
529,jâɽó ðúpà káré kàré,ialoðopakarekarɪ,I put the stick inside the table,I put the stick inside the table
530,jâɽó ðúpà kárè,ɪjand̪opakarɪ,I put the stick inside the table,"I am about to cook (want to cook, am going to cook)"
531,jâɽó ðúpǎ kádám kárè,ialoðopakat̪d̪amkari,I put the pen inside the book,I put the pen inside the book
532,jâɽó ðúpà kádàm,ejaalðopakad̪am,I put the pen inside the book,I am going to see a mat
533,lùɽìðú t̪ə́màn t̪à,loleðət̪əmant̪a,They returned quickly (here),They will return quickly (here)
534,là úɽìðì t̪ə̀màn t̪à,lawliðit̪mat̪a,They returned quickly (away),They returned quickly (towards)
535,árt̪ɔ́l lùɽìðà t̪ə̀màn t̪à,aɾt̪oluɾiðat̪mant̪að,Tell them to return quickly (here),Tell them to return quickly (far)
536,árt̪ɔ́ ŋúɽìðì t̪ə̀màn t̪à,at̪ooɾiðet̪mat̪ə,Tell him to return quickly (away),Tell him to return quickly (here)
537,ábá kári,abəkarɪ,inside the cave,s/he will hide
538,t̪òlé tô káré ké kábá,ʊlit̪ʊkarɪkekava,There is a lion inside the cave,The pot is going to break in it
539,t̪òlé tô káré ké kábà,t̪olit̪awkaɾkekaba,There is a lion inside the cave,"the lion, who else will see it?"
540,àpìt̪í lùɽbɔ̀,apitilʊrbɔ,Bring me jujube fruit!,Bring me jujube fruit!
541,lùɽbí lìcə̀lò,lʊrbileʃelo,The jujube fruit is good,The jujube fruit is good.
542,àpìt̪í ðɔ̀cɔ̀ ðɛ́ ðɛ́ ŋìðə̀ní t̪áwə̀nì,apit̪iðoʃoðeleŋeðenɪt̪aonɪ,Bring me the basket of rabbits now!,Bring me baskets of food now!
543,àpìt̪í ðɔ̀cɔ̀ ðɛ́ ŋìðə̀ní t̪áwə̀nì,apɪt̪iðokoðeŋðenit̪aonɪ,Bring me the basket of rabbits now!,Bring me baskets of food now!
544,àpìt̪í ðɔ̀cɔ̀ ðɛ́ ŋìðə̀ní t̪áwə̀nì,apit̪iðoʃoðŋðinit̪aonɪ,Bring me the basket of rabbits now!,Bring me baskets of food now!
545,àpìt̪í ðɔ̀cɔ̀ ðɛ́ ŋípíjɔ́ t̪áwə̀nì,apitivəʃɔðɲipit̪aoni,Bring me the basket of mushrooms now!,Bring me jujube fruit now!
546,àpìt̪í ðɔ̀cɔ̀ ðɛ́ nɔ̀mì,apitivkoðenomi,Bring me the basket of fish!,I brought Kuku's wife (away)
547,àpìt̪í ðɔ̀cɔ̀ ðɛ́ nɔ̀mì t̪áwə̀nì,apit̪id̪ʊʃoðenomit̪oni,Bring me the basket of fish now!,Bring me baskets of food now!
548,àpìt̪í ðɔ̀cɔ̀ ðɛ́ ŋìdí t̪áwə̀nì,apit̪iðocoðɛŋidit̪aone,Bring me the basket of coconuts now!,Bring me baskets of food now!
549,ŋìdí ŋìcə̀lò,nideŋicilo,Doleib fruits are good,The knives are good.
550,àn kúkù ŋɛ́nɛ̀ pɔ̀n káŋíŋì,jeaŋkokŋenapɔŋkaŋi,it's only Kuku I saw,I showed Kuku's dog to him
551,áŋú ɔ́ɟɔ̂ŋ,aŋooɟɔŋ,who did you see?,who did you see?
552,ùɟí kɛ̂nɛ̀ káŋíŋî,uɟikənekaŋɛŋi,one person I saw,who did I see?
553,ùɟí kɛ̂nɛ̀ kàŋîŋì,uɟikinekaŋeŋɪ,someone saw me,Intended by Kuku
554,ùɟí kɛ̂nɛ̀ kàŋíŋî,ʊɟiɡenekaŋeŋi,one person I saw,who did I show?
555,àn kúkù ŋɛ́nɛ̀pɔ́n káŋà t̪ólìɲà,ɛŋkukoŋiəpoŋkaŋat̪olɲa,only Kuku will see the lion,It's even Kuku I saw
556,àn kúkù ŋɛ́nɛ̀pɔ́n káŋì t̪ólìɲà,əŋkʊkoŋenaponkaŋit̪ʊlɲa,only Kuku saw the lion (and left),It's only Kuku I saw
557,ɛ́ná ìcə̀lò,ɛnaiclo,hunting is good,The leathers are good.
558,òðɛ̀ kìcə̀lò,ɔðekicilo,the deer is good,The stones are good.
559,kúkù kɔ̂dɔ́ ɛ́ŋná jɛ́ kákà,kukʊkod̪oiŋnajekaka,Kuku builds a house for Kaka,Kuku made the boy eat (and left)
560,kúkù kɔ̂d ɛ́ŋná jɛ́ kákà,kukʊkod̪eɡnajekaka,Kuku builds a house for Kaka,Kuku made Kaka taste (something)
561,ɛ̀ŋná ìcə̀lò,ɛŋnaicelo,the house is good,The food is good.
562,kúkù kâŋú kákàŋù,kukukamokaɡm,Kuku will see Kaka (far),Kuku will keep quiet (far)
563,kúkù kǎŋà kákàŋù,kokʊamakapam,Kuku will see Kaka,Kuku will make Kaka drink (far)
564,kúkù kàŋú kákàŋù,tʊkʊkamonkwakəvi,Kuku saw Kaka,who saw what?
565,kúkù káŋì kákàŋù,kokokaŋekavam,Kuku saw Kaka (and left),Kuku will introduce me to you
566,àn ɔ́ɟɔ́ káɾó t̪á t̪ʊ̀lí tàmə̀ɾðɔ́ ápɾíɲà,ənoɟkarot̪akolit̪abpɾ,who said thet the lion bit the boy?,who did grandpa say the lion bit?
567,àn ɔ́ɟɔ́ kɛ́ɾðɛ̀ðó t̪á t̪ʊ̀lí tàmə̀ɾðɔ́ ápɾíɲà,ənɔɟokerðot̪akt̪oletamd̪oapɛɲe,who asked if the lion bit the boy?,who did grandpa say the lion bit?
568,àn ɔ́ɟɔ́ kɛ́ɾðɛ̀ðó t̪á àn ɔ́ndì kámə̀ɾðɔ́ ápɾíɲà,anoɟekeeot̪aanondikamðoapɾeɲa,who asked what bit the boy?,"who else did the boy see, the boy bit?"
569,àn ɔ́ndì káɾógɛ́ ɔ̀ɟɔ́ t̪á kàmə̀ɾðɔ́ ápɾíɲà,nodekarɡeoɡot̪akamðoapriɲa,what did who say bit the boy?,what did who say bit the boy?
570,àn t̪ʊ́lí táɾó tɛ́ ɔ̀ɟɔ́ t̪á t̪àmə̀ɾðɔ́ ápɾíɲà,at̪olet̪arot̪eoɟet̪at̪amðɔpɛ,it's the lion that who said bit the boy,Tell him to write a letter now (far)
571,àn ɔ́ɟɔ́ káɾó gɛ́ káɾó gɛ́ ùɾnɔ̀ t̪á kàmə̀ɾðɔ́ t̪ʊ̀lì,anoɟokarukekarɡeʊrnot̪akamðot̪oli,who did grandpa say that the lion bit?,who did grandfather say repaired it (= CLl the ball)?
572,t̪ʊ̀lí t̪áɾó tɛ́ ùɾnɔ̀ɔ̌ t̪àmə̀ɾðɔ́ ápɾíɲá t̪ə̀ɽà,t̪olet̪arot̪eʊnot̪amðoabɾeɲat̪rap,the lion that grandpa said bit the boy was big,"the lion, who did grandpa say bit the boy?"
573,t̪ʊ̀lí t̪áɾó tɛ́ ùɾnɔ̀ t̪àmə̀ɾðɔ́ ápɾíɲá t̪ə̀ɽà,t̪olet̪art̪eʊnot̪amvoaprəɲad̪ra,the lion that grandpa said bit the boy was big,the lion should watch the dog every day
574,t̪ʊ̀lí t̪ə́ɽá t̪áɾó tɛ́ ùɾnɔ̀ t̪àmə̀ɾðɔ́ ápɾíɲá,t̪olet̪lafalɔteɡʊlnat̪amud̪pe,the lion that grandpa said bit the boy is big,The lion was pulling the sheep towards now.
575,t̪ʊ̀lí t̪ə́ɽá t̪àɾó tɛ́ ùɾnɔ̀ t̪àmə̀ɾðɔ́ ápɾíɲá,t̪let̪əɾaparot̪eʊnot̪aŋlareɲa,"the big lion, grandpa said bit the boy",the lion did not watch the dog
576,t̪ʊ̀lí t̪ə́ɽá t̪áɾó tɛ́ ùɾnɔ̀ t̪àmə̀ɾðɔ́ ápɾíɲá,t̪olet̪lat̪art̪eormot̪amraaplɛɲa,the lion grandpa said bit the boy is big,the lion should keep quietly staring at the boy
577,sɔ̀ɽíŋgɔ́ sə́tàn,soliŋɡosəta,the little donkey is small,alone(far away)
578,kúkùŋà kákàgɛ̀ lǎŋt̪ɛ̀ nɛ̀ lə̀vɛ̀r,kukmokakrelaŋt̪elvar,Kuku and Kaka saw something in the field (and left),Kuku and Kaka saw each other in the field
579,kúkùŋà kákàgɛ̀ láŋíðàt̪à nɛ̀ lə̀vɛ̀r,kʊakakavɛlamd̪elatanlvɔ,Kuku and Kaka will see (something) in the field,Kuku and Kaka will see (something) in the field
580,kúkùŋà kákàgɛ̀ láŋt̪íðì nɛ̀ lə̀vɛ̀r,kupmakakralaŋt̪eðienlval,Kuku and Kaka saw each other OR saw something in the field and left,Kuku and Kaka saw (something) in the field
581,kúkùŋà kákàgɛ̀ láŋt̪íðà nɛ̀ lə̀vɛ̀r,kukmakakralamt̪eðnlavɔr,Kuku and Kaka will see each other OR see something in the field,Kuku and Kaka saw each other in the field
582,kúkù kɜ̀ŋcí kákàŋú ŋɛ́nɛ̀,kkantikakneɾa,Kuku showed Kaka a dog,Kuku introduced him to his mom
583,kúkù kɜ́ŋcì kákàŋú ŋɛ́nɛ̀,kokokancɪkakaoŋene,Kuku showed Kaka a dog (and left),Kuku showed Kaka a dog
584,kúkù kɜ̂ŋcí kákàŋú ŋɛ́nɛ̀,kukkancikakaŋene,Kuku will show Kaka a dog (far),Kuku gave me the snake
585,kúkùŋà kákàgɛ̀ lɜ́ŋcíðì ŋɛ́nɛ̀,kupmakakaɡellaniʃiðiŋene,Kuku and Kaka showed (someone) a dog (and left),Kuku and Kaka saw each other (and left)
586,kúkùŋà kákàgɛ̀ lɜ̀ŋcìðú ŋɛ́nɛ̀,kupmakakaɡelansid̪uŋene,Kuku and Kaka showed (someone) a dog,Kuku and Kaka saw each other (and left)
587,kúkùŋà kákàgɛ̀ lɛ̂ŋcí ɔ̀ɾà ŋɛ́nɛ̀,kukʊmakakɡelaŋcɪoraɡine,Kuku and Kaka will show each other a dog (far),Kuku and Kaka will show each other a dog (far)
588,kúkù kɾ̀ŋìt̪ɔ́ kákàŋù,kʊpokɾiit̪okapaŋo,Kuku kept quiet for Kaka,Kuku opened the door at home
589,kúkù káɾŋít̪ɛ̀ kákàŋù,kokokaɾmetekaɡau,Kuku kept quiet for Kaka (and left),Kuku will introduce me to Kaka
590,àn ɔ́ndì káɾɔ́gɛ́ ùɾnɔ̀ t̪á kàmə̀ɾðɔ́ ápɾíɲà,əŋəɾəkarormət̪akɛmrðaapɾɪja,what did grandpa say bit the boy?,Which song did grandfather like of the boy's?
591,t̪ʊ̀lí t̪áɾɔ́t̪ɛ́ ùɾnɔ̀ t̪àmə̀ɾðɔ́ ápɾíɲà tə̀ɽà,t̪let̪arot̪ɛmot̪amðɔapreɲat̪la,the lion grandpa said bit the boy is big,the lion that chased the boy is fast
592,t̪ʊ̀lí t̪àððɔ́ ápɾíɲà èŋgáð jɛ̀,t̪olet̪aðoapreɲaenaðiɛ,the lion attacked the boy with its teeth,lion was instructed by boy boy
593,t̪ʊ̀lí t̪àððɔ́ ápɾíɲà èŋgáð jɛ́ ùnɛ̀ɾɛ̀,t̪orit̪aðoapɾuɲaeŋaðieʊnere,the lion attacked the boy with its teeth yesterday,the lion bit the boy yesterday (and left)
594,t̪ʊ̀lí t̪àððàt̪ɔ́ ápɾíɲà ðùɽì nd̪ɾì,t̪olet̪aðət̪ɔapreɲbʊlind̪ɪ,the lion attacked the boy next to the tree,the lion bit the boy in the field
595,àn âw káɾɔ́gɛ́ ùɾnɔ̀ kàððɔ́gɛ́ t̪ùlí àpɾíɲà,aokarʊɡeʊrnɔkaðoɡet̪oliapeɲa,how did grandpa say the lion attacked the boy?,what did grandfather say bit the boy?
596,àn âw káɾɔ́gɛ́ ùɾnɔ̀ kágɛ́ t̪ùlí àððà àpɾíɲà,ənakarʊɡenɔkɡet̪ʊliaaplɛɲa,how did grandpa say the lion will attack the boy?,what did grandfather say bit the boy?
597,àn âw káɾɔ́gɛ́ ùɾnɔ̀ kágɛ́ kágɛ́ t̪ùlí àððà àpɾíɲà,maokarɡeʊrnɡavekvet̪ʊlilapɛɲ,how did grandpa say the lion will attack the boy?,how did grandpa say the lion attacked the boy?
598,àn ndɔ́n káɾɔ́gɛ́ ùɾnɔ̀ kàmə̀ɾðɔ́gɛ́ t̪ùlí àpɾíɲà,ənd̪onkarveʊrnɔkamvoɡet̪oliapɾeɲa,when did grandpa say the lion bit the boy?,it's in that field that grandpa said the lion attacked the boy
599,àn ndɔ́n káɾɔ́gɛ́ ùɾnɔ̀ kágɛ́ t̪ùlí àððà àpɾíɲà,endoŋkaɾvɾnokaɡepeɾeaðəlapliɲa,when did grandpa say the lion will attack the boy?,it's in the field that grandpa said the lion bit
600,àn ŋgá káɾɔ́gɛ́ ùɾnɔ̀ kàmə̀ɾðɔ́t̪ɔ́l t̪ùlí àpɾíɲà,aŋɡaklɡoɾnokamrt̪oɾt̪oleapɾia,where did grandpa say the lion bit the boy?,Where did the grandfather say the lion bit the boy?
601,àn ŋgá káɾɔ́gɛ́ ùɾnɔ̀ kàððàt̪ɔ́l t̪ùlí àpɾíɲà,ənɡakaloɡɛʊrnɔkaðat̪əlt̪oliapɾɛɲa,where did grandpa say the lion attacked the boy?,it's who grandpa said the lion attacked the boy
602,àn ŋgá káɾɔ́gɛ́ ùɾnɔ̀ t̪á kàððàt̪ɔ́l t̪ùlí àpɾíɲà,ənɡakarɡonət̪akaðat̪olt̪liapɾɛɲa,where did grandpa say the lion attacked the boy?,how did grandpa say the lion bit the boy?
603,àn ŋgá káɾɔ́gɛ́ ùɾnɔ̀ kál t̪ùlí àððàt̪à àpɾíɲà,aŋɡakalbeosmkalt̪oleaðapaapoina,where did grandpa say the lion will attack the boy?,Where did the boy remember the lion chased the dog (away)?
604,àn únɛ́ɾɛ́ káɾɔ́gɛ́ ùɾnɔ̀ tá kàððɔ́gɛ́ t̪ùlí àpɾíɲà,anʊnerekaroɡeʊnat̪akaðavt̪oliat̪weɲe,when did grandpa say the lion attacked the boy?,it's yesterday that grandpa said the lion attacked the boy
605,kúkù kápɛ̀ ìndɔ̀,ʔokɔkapeɪdɔ,Kuku beat the drum (and left),Kuku will bring (something) tomorrow
606,kúkù kə̀pìt̪ɔ́ kákàŋú índɔ̀,kukpit̪kakamuindo,Kuku beat the drum for Kaka,Kuku will beat Kakamuindo (far)
607,kúkù kápít̪ɛ̀ kákàŋú índɔ̀,okokapit̪ekaɡamueŋd̪o,Kuku beat the drum for Kaka (and left),Kuku will bring Kaka (something) tomorrow
608,kúkù kǎpít̪ɔ̀ kákàŋú índɔ̀,kukukapit̪aɡavawed̪o,Kuku will beat the drum for Kaka,Kuku will take (something) away tomorrow
609,kúkù kâpìt̪ɔ́ kákàŋú índɔ̀,kukokapit̪okakamʊilo,Kuku will beat the drum for Kaka (far),Kuku will bring Kaka to Kuku
610,kúkù kə̀pɜ̀ìt̪ɔ́ kákàŋú índɔ̀,kokwokpat̪ɔkaðauiŋd̪o,Kuku beat the drum instead of Kaka,Kuku will drink water in the field
611,kúkù kápɜ́ìt̪ɛ̀ kákàŋú índɔ̀,ukokapat̪ekaɡaoed̪ɔ,Kuku beat the drum instead of Kaka (and left),Kuku will beat Kaka in the field
612,kúkù kâpɜ̀ìt̪ɔ́ kákàŋú índɔ̀,kʊkokapat̪əkakaŋoindo,Kuku will beat the drum instead of Kaka (far),Kuku will take Kaka (far)
613,kúkù kǎpɜ́ìt̪ɔ̀ kákàŋú índɔ̀,kukkapait̪ekakamuend̪o,Kuku will beat the drum instead of Kaka,Kuku will drink water in the field (far)
614,kúkù ŋgǎpít̪ìt̪ɔ̀ kákàŋú índɔ̀,kʊkŋɡapit̪ɪt̪aɡakamʊedo,Kuku will beat the drum instead of Kaka,Kuku hunts for Kaka
615,kúkù kə̀pìt̪ìt̪ɔ́ kákàŋú índɔ̀,kukokɛpit̪itakaɡamuendo,Kuku beat the drum instead of Kaka,Kuku took Kaka's food
616,kúkù kápít̪ìt̪ɛ̀ kákàŋú índɔ̀,kokokapɪd̪ɪt̪ɛkaɡamoelo,Kuku beat the drum instead of Kaka (and left),Kuku made Kaka braid (something)
617,kúkù kâpìt̪ìt̪ɔ́ kákàŋú índɔ̀,kʊkokapit̪ɪt̪olkakamind̪o,Kuku will beat the drum for Kaka (far),Kuku will take (something) away from Kaka
618,kúkù ŋgâpìt̪ìt̪ɔ́ kákàŋú índɔ̀,kukobapid̪ɪt̪əɡaʔamoendof,Kuku will beat the drum for Kaka (far),Kuku will make Kaka taste the soup
619,kúkù kǎpíðɔ̀t̪ɔ̀ ǹ lə̀vɛ̀r,kukokapeðat̪onlavaɾ,Kuku will beat in the field,Kuku will beat in the field (far)
620,àpɾì jɜ̀ŋcí ŋɛ́nɛ̀,aprijanʃiŋene,the boy showed a dog,the boy showed me a dog
621,àpɾì jɜ́ŋcɜ́cì ŋɛ́nɛ̀ nɛ̀ lə̀vɛ̀r,apɾejaŋkɛkiŋinənləval,the boy showed a dog in the field (and left),The boy showed me a dog
622,kúkù kɜ̀ŋcìjí ápɾíɲá ŋɛ́nɛ̀,ukokamciaproɲaŋin,Kuku made the boy show a dog,Kuku gave the boy to the dog
623,kúkù kɜ́ŋcíjì ápɾíɲá ŋɛ́nɛ̀,kokokancɪapne,Kuku made the boy show a dog (and left),Kuku will make the boy sleep (far)
624,kúkù kɜ̌ŋcíjɔ̀ ápɾíɲá ŋɛ́nɛ̀,kokokaŋt̪ipr,Kuku will make the boy show a dog,Kuku made the boy sleep (and left)
625,kúkù kɜ̂ŋcìjí ápɾíɲá ŋɛ́nɛ̀,kokokaŋtiafiee,Kuku will make the boy show a dog (far),Kuku will introduce me to you
626,kúkù kɜ̀ŋcìjìt̪ɔ́ ápɾíɲá ŋɛ́nɛ̀ nɛ̀ lə̀vɛ̀r,kokokanʃɪt̪ɔaprɪɲaŋɡɪnellavar,Kuku made the boy show a dog in the field,Kuku made the boy eat in the field (and left)
627,kúkù kɜ̀ŋcìjìðɔ̀t̪ɔ́ ápɾíɲá ŋɛ́nɛ̀ nɛ̀ lə̀vɛ̀r,kʊkʊŋkaŋɟɪðt̪oapɾenioðeloɡaða,Kuku made the boy show a dog in the field,Kuku will see a scorpion in the field
628,kúkù kɜ̀ŋcìjìðɔ̀t̪ɔ́,kwakokant̪iðət̪o,Kuku made (the boy) show (a dog),Kuku saw Ngalo in the field
629,kúkù kɜ̀ŋcìjìt̪ɔ́ ápɾíɲá kákàŋú ŋɛ́nɛ̀ nɛ̀ lə̀vɛ̀r,kokokacitapɲakakauŋŋnellver,Kuku made the boy show Kaka a dog in the field,Kuku gave Kaka a dog in the field
630,kúkù kɜ̀ŋcìðìjìt̪ɔ́ ápɾíɲá kákàŋú ŋɛ́nɛ̀ nɛ̀ lə̀vɛ̀r,koskonit̪ɪvɪt̪oapɾenakakaumjnedloɡal,Kuku made the boy show Kaka a dog in the field,Kuku opened the door against the wish of Kaka
631,kúkù kɜ̀ŋcíŋìǐ ŋûŋ,kukokantiŋiŋɡo,Kuku introduced me to him,Kuku will introduce me to him
632,kúkù kɜ̀ŋcíŋì ŋûŋ,ʔopukɛtjenɪŋ,Kuku introduced me to him,Kuku came out of the house
633,kúkù kɜ̀ŋcíŋì ŋâŋ̌,kwokokaltieŋena,Kuku introduced me to you,Kuku will show me the dog
634,kúkù kɜ̀ŋcíŋì ŋâŋ,kukukanciniinam,Kuku introduced me to you,Kuku showed me the snake
635,kúkù kɜ̀ŋcáŋà ŋîŋ,kukukacaŋəin,Kuku introduced you to me,Kuku will show me a dog
636,lɛ́ŋgɛ́n k ápɾì,lɛŋɡenkapri,the boy's mom,I visited the boy
637,lɛ́ŋgɛ́n k ápɾíŋà,lɛŋɡənkapredmə,the boy's mom,his mother carried the baby
638,kúkù kàpɔ́ ŋɔ́mɔ̀,ʔukʊkapɔnmo,kuku brought food,Kuku will bring the food
639,kúkù kápɛ̀ ŋɔ̀mɔ̀,ʔoʔokapelb,Kuku took food away,Kuku will make the boy return
640,kúkù kâpɔ́ ŋɔ́mɔ̀,kukukapama,Kuku will bring food,Kuku will make the boy sleep
641,kúkù kǎpà ŋɔ̀mɔ̀,kukokapaŋom,Kuku will take food away,Kuku will eat food
642,kúkù kàpàt̪ɔ́ ŋɔ́mɔ́ dùn,kokukapat̪aamodʊn,Kuku brought food home,Kuku will take food home (far)
643,kúkù kápát̪ɛ̀ ŋɔ̀mɔ̀ dùn,kukokapat̪emomod̪ʊn,Kuku took food home,Kuku took food home (far)
644,kúkù kâpàt̪ɔ́ ŋɔ́mɔ̀ dùn,kuɡokapat̪aðomamodʊn,Kuku will bring food home,Kuku will search in the field (far)
645,kúkù kǎpát̪à ŋɔ̀mɔ̀ dùn,kukukapasamooð,Kuku will take food home,Kuku will keep quiet (far)
646,kúkù kàpìt̪ɔ́ kákàŋú ŋɔ́mɔ̀,kokokapit̪okakamʊŋomo,Kuku brought food for Kaka,Kuku will bring Kuku to Kuku
647,kúkù kápít̪ɛ̀ kákàŋú ŋɔ́mɔ̀,ʔukukapitekakainɛ,Kuku took food for Kaka,Kuku took Kaka (something) away
648,kúkù ŋgápít̪ɛ̀ kákàŋú ŋɔ́mɔ̀,kukoŋɡapitekat̪a,Kuku took food for Kaka,Kuku will bring you the soup
649,kúkù kâpìt̪ɔ́ kákàŋú ŋɔ́mɔ̀,kukʊɾkapit̪oðkakaʊnemo,Kuku will bring food for Kaka,Kuku searched for Kaka in the field
650,kúkù ŋgâpìt̪ɔ́ kákàŋú ŋɔ́mɔ̀,kʊkuɡapit̪oðakaono,Kuku will bring food for Kaka,Kuku will bring (something) tomorrow
651,kúkù kǎpít̪ɔ̀ kákàŋú ŋɔ́mɔ̀,kokokapɪt̪kakaʊuɲe,Kuku will take food for Kaka,Kuku brought Kaka (something) yesterday
652,kúkù kùtìðí kákàŋù,kukukutidikakami,Kuku called Kaka,Kuku made Kaka braid
653,kúkù kàkáɾcàcì ŋɔ̀mɔ̀ nɛ̀ lə̀vɛ̀r,kʊkukakapcacimamalra,Kuku searched for food in the field (and left),Kuku will show me the snake
654,kúkù kákàɾcàcí ŋɔ́mɔ̀ nɛ̀ lə̀vɛ̀r,kʊkʊoɡaɡaftaʃimamwanbava,Kuku will search for food in the field (far),Kuku will make the boy drink water tomorrow
655,kúkù kákáɾcácà ŋɔ̀mɔ̀ nɛ̀ lə̀vɛ̀r,kukulukakartɛcŋomɔlevɛ,Kuku will search for food in the field,Kuku and Kaka showed each other a dog (and left)
656,kúkù kàkáɾcìðì ùnɛ̀ɾɛ̀,kubokasartɛliʊnara,Kuku searched yesterday (and left),Kuku will search in the field (far)
657,kúkù kàkáɾcíðàt̪ɛ̀ nɛ̀ lə̀vɛ̀r,kukokakasceðat̪enoɡar,Kuku searched in the field (and left),Kuku will search tomorrow (far)
658,kúkù kákáɾcíðàt̪à nɛ̀ lə̀vɛ̀r,kʊkukakartevat̪ad̪,Kuku will search in the field,Kuku will keep quiet for Kaka
659,kúkù kákàɾcìðàt̪ɔ́ nɛ̀ lə̀vɛ̀r,kukkakarciðat̪onlɡa,Kuku will search in the field (far),Kuku will search in the field (far)
660,ùɟí kɔ́bə̀cɔ̀,ʊjekobɔɟo,white person,Who did you meet?
661,àn ɔ́ndì kə́ŋàcí kúkù àpɾíɲá ùnɛ̀ɾɛ̀,ənodikɛŋaʃikʊkuapɾɛɲaʊnare,what did Kuku give the boy yesterday?,what did Kuku give the boy?
662,ùcùl kìcɛ̀lù,ʊcunkeceɔ,the stranger is good,Kuku was given to him by Kuku
663,ùcùl káŋìŋì,ucʊlkaŋeni,the stranger saw me,Kuku saw it (sheep)
