transcription,rewritten_transcript,translation,decoded_phonemes,split
àn múðù kə́ðìɲɔ́ ɛ́làrà,àn múðù kə́ðìɲɔ́ làɾà,it's the leopard who the farmer fears,a n m u ð ʊ k ɾ i ɲ o e l a ɾ a,train
àn ɔ́ɟɔ́ kə́ðìɲɔ́ múðɔ̀,àn ɔ́ɾɔ́ kə́ðìɲɔ́ muðɔ,Who is afraid of the leopard? ,ə n o ɟ o k i l i ɲ o m u ð o,train
àn ɔ́ɟɔ́ kə́ðìɲɔ́ múðɔ̀,àn ɔ́ɾɔ́ kə́ðìɲɔ́ muðɔ,n/a,a n o ɟ o k e ð i ɲ o m u ð o,train
àn ɔ́ɟɔ́ kə́ðìɲɔ́ múðɔ̀,àn ɔ́ɾɔ́ kə́ðìɲɔ́ muðɔ,n/a,ɛ n o ɟ ə k i ð ɪ ŋ o m u ð o,train
àn ɔ́ɟɔ́ kə́ðíɲɔ́ múðɔ̀,àn ɔ́ɾɔ́ kə́ðìɲɔ́ muðɔ,Who is afraid of the leopard? ,a n o ɟ o k ð ɲ o m u ð o,train
àn ɔ́ɟɔ́ kə́ðíɲɔ́ múðɔ̀,àn ɔ́ɾɔ́ kə́ðìɲɔ́ muðɔ,n/a,a n o ɟ o k ð ɲ o m u ð o,train
àn ɔ́ɟɔ́ kə́ðíɲɔ́ múðɔ̀,àn ɔ́ɾɔ́ kə́ðìɲɔ́ muðɔ,n/a,a n o ɟ o ɡ ð ɪ ɲ o m u ð o,train
àn ɛ́làɽà kə́ðíɲɔ́ múðɔ̀,àn ɛ́làɽà kə́ðìɲɔ́ muðɔ,It's the farmer who is afraid of the leopard,a n e l a ɾ a k ð i ɲ o m u ð o,train
àn ɛ́làɽà kə́ðíɲɔ́ múðɔ̀,àn ɛ́làɽà kə́ðìɲɔ́ muðɔ,n/a,a n e l a ɾ a k ð i ɲ o m u ð o,train
àn ɛ́làɽà kə́ðíɲɔ́ múðɔ̀,àn ɛ́làɽà kə́ðìɲɔ́ muðɔ,n/a,ə n e l a ɾ a k ð i ɲ o m ʊ ð o,train
àn ɔ́ndí kɛ́ɽìjí ɛ́làɽà ánò,àn ńdì kɛ́ àɽìjí ɛ́làɽà áǹɔ́,What upset the farmer? ,a n o n d̪ i k e l i e l a l a a n o,train
àn ɔ́ndí kɛ́ɽìjí ɛ́làɽà ánò,àn ńdì kɛ́ àɽìjí ɛ́làɽà áǹɔ́,n/a,ɛ n o d i ʔ e l j e ɛ l a l a a n o,train
àn ŋə́ɽáj ŋə́ð̀àŋàl,àn ŋə́ɽà ŋə́ðáŋàl,it's the death of the sheep,ə ŋ l a ŋ a d̪ ə n a l,train
àn ŋə́ɽɛ́jŋð̀àŋàl íðùn,àn ŋə́ɽɛ́jŋð̀àŋàl nùn,it's the death of his sheep,ɛ l ɛ ŋ d a ŋ ə l i d̪ u n,train
àn ŋə́ɽáj ŋɛ́ð̀àŋàl íðùn,àn ŋə́ɽà ŋə́ðáŋàl nùn,it's the death of his sheep,a n ŋ a l e n e ð a l e ð o n,train
mùðù kə̀ɽìŋàt̪ɔ́ ðáŋàlà ŋ̀gà,mùðù kàɽə̀ŋàt̪ɔ́ ðáŋàlà ŋgà,where did the leopard kill the sheep? ,m u ð ʊ k ɾ i a t̪ o d̪ a ŋ a l a ŋ ɡ a,train
mùðù kə̀ɽìŋàt̪ɔ́ ðáŋàlà ŋ̀gà,mùðù kàɽə̀ŋàt̪ɔ́ ðáŋàlà ŋgà,n/a,m ʊ ð ʊ k ɾ i a t̪ o ð ə ŋ a l a ŋ ɡ a,train
ànŋ́gá kə́ɽìŋàt̪ɔ́l múðù ðàŋàlà,ŋgá káɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,where did the leopard kill the sheep? ,a ŋ ɡ a ɡ ɾ ɲ a t̪ o l m u ð ʊ ð ə a l a,train
ànŋ́gá kə́ɽìŋàt̪ɔ́l múðù ðàŋàlà,ŋgá káɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,n/a,a ɡ a k l ɪ a t̪ ɔ l m u ð ð l a,train
ànŋ́gá kə́ɽìŋàt̪ɔ́l múðù ðàŋàlà,ŋgá káɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,where did the leopard kill the sheep? ,a ɡ ɡ a k l ɲ a t̪ t̪ a l m o d̪ ʊ d̪ l a,train
àǹ ðɜ́rìbǐ ðə́ɽiŋàt̪ɔ́l múðù ðàŋàlà,àn ðɜ́ríbì ðáɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,it's in in the pen where the leopard killed the sheep.,ə n d̪ e r b ɪ d̪ e l ɲ a t̪ o l m u ð ʊ ð a l a,train
àǹ ðɜ́rìbì ðə́ɽiŋàt̪ɔ́l múðù ðàŋàlà,àn ðɜ́ríbì ðáɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,it's in in the pen where the leopard killed the sheep.,a n d̪ e ɾ v e ð e l ɲ a t̪ o l m u ð o ð a n a l a,train
àǹ ðɜ́rìbì ðə́ɽiŋàt̪ɔ́l múðù ðàŋàlà,àn ðɜ́ríbì ðáɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,n/a,ɛ n d̪ ɛ v e d̪ ɲ a t̪ o l m u ð ɔ d̪ ə n a ɾ a,train
àǹ ðɜ́rìbì ðə́ɽiŋàt̪ɔ́l múðù ðàŋàlà,àn ðɜ́ríbì ðáɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,n/a,ə n d̪ ɛ v e ð ə l ɲ a t̪ ə l m u ð ð a l a,train
ŋgánɔ́nà ðɜ̀ríbɔ̀ nd̪ɔbà,ŋgá nɔ́nà ðɜ̀ríbɔ̀ nd̪ɔ̀bà,he will see the animal pen tomorrow,ɡ a n o n a ð ɛ r ɪ b o d̪ o v a,train
ŋgánɔ̀nà ðɜ̀ríbɔ̀,ŋgá nɔ́nà ðɜ̀ríbɔ̀,he will see the animal pen,ɡ a n o n a ð e r ɪ p o,train
ðàŋàl ðów ðɜ́rîbì,ðàŋàl ðóẁ ðɜ́ríbì,the sheep is in the pen (distal),l a ŋ a ð o w ð ɛ r v ɪ,train
ðàŋàl ðów ðɜ́rîbì,ðàŋàl ðóẁ ðɜ́ríbì,n/a,l a a l ð a o ð ɛ r ɡ i,train
ðàŋàl ðá ðɜ́rìbì,ðàŋàl ðá ðɜ́ríbì,the sheep is in the pen (proximal),l v a ð a r i b i,train
ðɜ̀ríbì ðə́ɽiŋàt̪ɔ́l múðù ðàŋàlǎ,ðɜ̀ríbì ðáɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,"the pen, the leopard killed the sheep in it",ð ɛ r i w ɪ ð e ɲ a t̪ ɔ l m o ð o ð a l a,train
ðɜ̀ríbì ðə́ɽiŋàt̪ɔ́l múðù ðàŋàlà,ðɜ̀ríbì ðáɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,"the pen, the leopard killed the sheep in it",l ɛ r b i d̪ l i ɲ a t̪ ɔ l m o d̪ l a l a,train
ðɜ̀ríbì ðə̀ɽiŋàt̪ɔ́l múðù ðàŋàlà,ðɜ̀ríbì ðàɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,"the pen, the leopard killed the sheep in it",v e r i b e t̪ e l i ɲ a t̪ o l m o ð ð a ŋ a l a,train
ðɜ̀ríbì ðə̀ɽiŋàt̪ɔ́l múðù ðàŋàlà,ðɜ̀ríbì ðàɽə̀ŋàt̪ɔ́l múðù ðàŋàlà,n/a,r e r i b ɪ ð e l ɲ a t̪ a l m o ð o ð a ŋ a l a,train
ɛ̀làɽà kɛ̀ɽánò,ɛ̀làɽà kə̀mànú,farmer is upset,ɛ l a l a k e l a n o,train
ɛ̀làɽà kɛ̀ɽánó ŋàmɽàɾɛ̀,ɛ̀làɽà kə̀mànú ŋàɽàt̪ɛ̀,the farmer is very upset,e l a ɾ a k e ɾ a n ʊ m b l a ɾ e,train
ɛ̀làɽà kɛ̀ɽánó ŋàmɽàɾɛ̀,ɛ̀làɽà kə̀mànú ŋàɽàt̪ɛ̀,n/a,e ð a l a k e l a n o m l a ɾ e,train
ɛ̀làɽà kɛ̀ɽánó ŋàmɽàɾɛ̀,ɛ̀làɽà kə̀mànú ŋàɽàt̪ɛ̀,n/a,e l a l a k e l a n u m l a ɾ e,train
ɛ̀làɽà kə̀ɽàɲìðú,ɛ̀làɽà kə̀ɽàɲìðú,the farmer is mourning,e ɾ a l a k l a ɲ e ð o,train
ɛ̀làɽà kə̀ɽàɲìðú ŋàmɽàɾɛ̀,ɛ̀làɽà kə̀ɽàɲìðú ŋàɽàt̪ɛ̀,the farmer is mourning a lot,e l a l a k ɾ a ɲ e ð o ŋ l a r e,train
ɛ̀làɽà kə̀ɽá ŋ̀mɽàɾɛ̀,ɛ̀làɽà kə̀ɽà ŋə̀màt̪ɛ̀,farmer is very big,e l a l a k k l a ŋ m l a r,train
ɛ̀làɽà kìɽánó kán íðùŋ,ɛ̀làɽà kìtàn ká ńɛ̀ ðù,the farmer was upset with his son,e l a l a k e ɾ a n o k a n i ð o,train
ɛ̀làɽà kìɽánó kán íðùŋ,ɛ̀làɽà kìtàn ká ńɛ̀ ðù,n/a,e l a l a k e l a n o k a n i ð o,train
àn íðǔŋ kíɽɔ́l ɛ́làɽà ánó,àn ðû kɔ́ɽɔ́l ɛ́làɽà áǹɔ́,it's his son the farmer is upset with,a n i ð o ŋ k e l o l e l a l a a n u,train
ɛ̀làɽà kìɽɔ́ ánò,ɛ̀làɽà kɔ̀ɽɔ́ áǹɔ́,the farmer is upset,ɛ ɾ a l a k e l o a n u,train
ɛ̀làɽà kə̀ðìɲɔ́ bácómɛ̀,ɛ̀làɽà kə̀ðìɲɔ́ bácʊ́mɛ́,Is the farmer scared of the fox? ,ɛ l a l a k i b a ʃ ɔ m e,train
ɛ̀làɽà kə̀ðìɲɔ́ bácómâ,ɛ̀làɽà kə̀ðìɲɔ́ bácʊ̂m,Is the farmer scared of the fox? ,e l a ɾ a t̪ e n i a b a ʃ o m a,train
ɛ̀làɽà kə̀ðìɲɔ́ bácóm,ɛ̀làɽà kə̀ðìɲɔ́ bácʊ̂m,Is the fox scared of the farmer?,e l a ɾ a k ɾ i ɲ o b a ʃ o m,train
ɛ̀làɽà kə̀ðìɲɔ́ bácómɛ̀,ɛ̀làɽà kə̀ðìɲɔ́ bácʊ́mɛ́,n/a,e l a ð a k e ð ɲ o b a c o m e,train
ɛ̀làɽà kə̀ðìɲɔ́ bácómâ,ɛ̀làɽà kə̀ðìɲɔ́ bácʊ̂m,n/a,e l a l a ɡ n ɪ o b a c o m a,train
nd̪ɔ̀bà ná t̪ólé ílà kálàbðà ɛ́lɔ́gɛ̌,nd̪ɔ̀bà ná t̪ólé là kál ábùðà ɛ́lɔ́,"Tomorrow, when the lion was going to meet with God",d̪ o b a n a t̪ ʊ l ɪ l a k ɔ l o b ð e l ɡ e,train
wɛ́ nd̪ɔ̀bà ná t̪ólé ílà kálàbðà ɛ́lɔ́gɛ̌,rɛ́ nd̪ɔ̀bà ná t̪ólé là kál ábùðà ɛ́lɔ́,"The next day, when the lion was going to meet with God",w e d o b a n a t u l e e l a k o l o b ð a e l ɡ,train
wɛ́ nd̪ɔ̀bà ná t̪ólé ílà kálàbðà ɛ́lɔ́gɛ̌,rɛ́ nd̪ɔ̀bà ná t̪ólé là kál ábùðà ɛ́lɔ́,n/a,w e n d̪ o v n a t̪ u ɾ ɪ e l a k l o v ð e l o ɡ e,train
nɛ̀ ŋìðìní míɲàt̪ɛ̀ lùbà lɛ̀nɛ̌,nɛ̀ ŋìðɛ̀ní míɲàt̪ɛ̀ lùdà lɛ̀ ńɛ̀,Then the hare stepped outside and passed beside,n ŋ i m m ɲ a t̪ e l o b a l e n,train
ŋàɾɛ́ ŋdə́màt̪è nɛ̀ɲù,ŋàɾɛ̀ ŋə́màt̪ɛ̀ nə̀t̪ú,and ran in front of him,ŋ a r a d̪ m a t̪ i n ɛ ɲ u,train
nɛ̀ ŋìðìní míɲàt̪ɛ̀ lùbà lɛ̀nɛ̌,nɛ̀ ŋìðɛ̀ní míɲàt̪ɛ̀ lùdà lɛ̀ ńɛ̀,n/a,n ɛ ŋ ð n e m i a t̪ e l o b a l n e,train
ŋàɾɛ́ ŋmíɲàt̪ɛ̀ nɛ̀ɲù,ŋàɾɛ̀ ŋə̀mìɲàt̪ɛ̀ nə̀t̪ú,and ran in front of him,n a ɾ a m ɲ a t̪ e n ɛ ɲ u,train
ŋmɛ́ðàt̪ɛ̀ nɛ̀ɲù,ŋə̀mɛ̀ðàt̪ɛ̀ nə̀t̪ú,go in front,m e ð a t̪ e n e ɲ o,train
ŋmɛ́ðàt̪ɛ̀ nɛ̀ɲù,ŋə̀mɛ̀ðàt̪ɛ̀ nə̀t̪ú,n/a,m e ð a t̪ e n e,train
ŋmɛ́ðàt̪ɛ̀ nɛ̀ɲú,ŋə̀mɛ̀ðàt̪ɛ̀ nə̀t̪ú,go in front,m ɛ ð a t̪ e n a ɲ u,train
mɛ́ðát̪á nɛ̀ɲù,mɛ́ðàt̪á nə̀t̪ú,go in front,m e ð a t̪ a m e ɲ,train
mɛ́ðát̪ɔ́ nɔ̀ɲù,mɛ́ðát̪ɔ́ nòló,go in front,m e ð a t̪ o n o ɲ o,train
mɛ́ðát̪ɔ́ nɔ̀ɲù,mɛ́ðát̪ɔ́ nòló,n/a,m e ð a t̪ o n a ɲ o,train
mɛ́ðát̪ɔ́ nɔ̀ɲù,mɛ́ðát̪ɔ́ nòló,n/a,m e ð a t̪ o n e ɲ o,train
lùbà lɛ̀nɛ́,lùdà lɛ̀ ńɛ̀,the other side; same direction,l o b a l n e,train
lùbà lɛ̀nɛ̀,lùdà lɛ̀ ńɛ̀,the other side; same direction,l o b a l e n e,train
ŋɛ́ɾɛ́ ŋáŋt̪à àrá,ŋɛ̀ áɾɛ̀ ŋáŋàt̪à àɾá,he went and hid himself,ŋ a ð e ŋ a ə n t̪ a ɾ r a,train
ŋɾɛ́ ŋáŋt̪á árǎ,ŋàɾɛ̀ ŋáŋàt̪á áɾà,he went and hid himself,ɡ r ɛ ŋ a n t̪ a ɾ r a,train
ŋɾɛ́ ŋáŋt̪á árǎ,ŋàɾɛ̀ ŋáŋàt̪á áɾà,n/a,r ɛ ŋ ə n t̪ a ɾ r a,train
ŋìðìní ŋànt̪ɔ́ árà,ŋìðɛ̀ní ŋá ɔ̀nt̪ɔ́ áɾà,The hare is hiding,ŋ i ð n i ŋ a n t̪ o a r a,train
ŋìðìní ŋànt̪ɔ́ árà,ŋìðɛ̀ní ŋá ɔ̀nt̪ɔ́ áɾà,n/a,m i ð n i ŋ a n t̪ o a ɾ r a,train
ŋìðìní ŋɛ̌ gʊ̀blɔ̀ŋnɔ́,ŋìðɛ̀ní ŋɛ̀ kìbìŋnú,The hare is hiding,n e ð m i ŋ e ɡ o b l ɔ ŋ n a,train
ŋìðìní ŋɛ̀ ŋgʊ̀blɔ̀ŋnɔ̀,ŋìðɛ̀ní ŋɛ̀ ŋgìbìnɔ̀,The hare is hiding,i e ŋ ɡ b l a ŋ,train
ŋìðìní ŋɛ̀ ŋgʊ̀blɔ̀ŋnɔ̀,ŋìðɛ̀ní ŋɛ̀ ŋgìbìnɔ̀,n/a,i e e ɡ b l,train
kʊ́blɔ́ŋnɔ́ t̪ɔ́wə̀nì,kál ɔ́ŋcɔ̀ t̪ɔ́wɜ̀nì,Hide now!,k b l a ŋ n a t̪ a a n e,train
wɛ́ nít̪ɔ́ t̪ólé ɲún t̪ɛ́míŋ nɔ̀n,rɛ́ nít̪ɔ́ t̪ólé ɲɛ́n t̪ə́m̀ɔ́ŋ nɔ̀n,Then when the lion arrived,n e t̪ a t̪ o l e ɲ o n t̪ m ɪ ɡ n o n,train
wɛ́ nít̪ɔ́ t̪ólé ɲún t̪ɛ́míŋ nɔ̀n,rɛ́ nít̪ɔ́ t̪ólé ɲɛ́n t̪ə́m̀ɔ́ŋ nɔ̀n,n/a,w e n e t̪ a t̪ l e ɲ o t̪ i m i ɡ n o n,train
wɛ́ nít̪ɔ́ t̪ólén t̪ɛ̀míŋ nɔ̌n,rɛ́ nít̪ɔ́ t̪ólé t̪ə̀m̀ɔ́ŋ nɔ̌n,When the lion arrived,w e n e t a t̪ o l e n t̪ m i ŋ n a n,train
wɛ́ nít̪ɔ́ t̪ólén t̪ɛ̀míŋ nɔ̌n,rɛ́ nít̪ɔ́ t̪ólé t̪ə̀m̀ɔ́ŋ nɔ̌n,n/a,w ɛ n e t̪ a t a l i n t̪ ɛ m b ɪ ŋ n ɔ n,train
wɛ́ nít̪ɔ́ t̪ólé t̪ɛ̀míŋ nɔ̌n,rɛ́ nít̪ɔ́ t̪ólé t̪ə̀m̀ɔ́ŋ nɔ̌n,When the lion arrived,n i t̪ a t̪ o l i d̪ m ɪ ŋ n o n,train
wɛ́ nít̪ɔ́ t̪ólé nɔ̌n,rɛ́ nít̪ɔ́ t̪ólé nɔ̌n,When the lion arrived,w ɛ n e t̪ o t̪ o l e n o n,train
wɛ̌n t̪ɛ̀mí t̪ólé nɔ̌n,wɛ̌n t̪ɛ̀ ḿɛ̀ t̪ólé nɔ̌n,When the lion arrived,w ɛ n t̪ m ɪ t̪ l i n n o n,train
wɛ́ nít̪ɔ́ t̪ólé nɔ̌n,rɛ́ nít̪ɔ́ t̪ólé nɔ̌n,n/a,w e e t̪ a t̪ o l e n ɔ n,train
nɛ̀ ŋìðìɲí út̪ìðí ŋárt̪ɛ̌ t̪òlé àn íŋí ɛ́lɔ̀,nɛ̀ ŋə̀ðìɲí út̪ìðì ŋáɾt̪ɛ̀ t̪òlé àn íbí ɛ́lɔ́,"Then the hare called out and said, ""Lion, I am God!""",ŋ ð n i ʊ c ɪ l i m a t̪ e t̪ o l i a ŋ i e l o,train
nɛ̀ ŋìðìɲí út̪ìðí ŋárt̪ɛ̌,nɛ̀ ŋə̀ðìɲí út̪ìðì ŋáɾt̪ɛ̀,Then the hare called,n e ŋ n i u t i v i ŋ a ɾ t̪ e,train
ídɔ̀ŋt̪áŋà ŋìðìnɔ́ŋù ùnɛ́ɾɛ́,rídɔ̀t̪áŋà ŋə̀ðìnɔ́ŋú ùnɛ́ɾɛ́,I sent for you the hare yesterday,ɪ d n t̪ a ŋ a ŋ ð ə n o ŋ o ʊ n ɛ ɾ,train
ídɔ̀ŋt̪áŋà ŋìðìnɔ́ŋù ùnɛ́ɾɛ́,rídɔ̀t̪áŋà ŋə̀ðìnɔ́ŋú ùnɛ́ɾɛ́,n/a,e l a n t̪ a a n o ð e n a m o n a ɾ e,train
ídɔ̀ŋt̪áŋà ŋìðìnɔ́ŋù ùnɛ́ɾɛ́,rídɔ̀t̪áŋà ŋə̀ðìnɔ́ŋú ùnɛ́ɾɛ́,n/a,e d ə n t̪ a ŋ a ŋ w ɪ ð e n o ŋ ʊ n ɛ ɾ,train
ídɔ̀ŋt̪áŋà ŋìðìnɔ́ŋù ùnɛ́ɾɛ́,rídɔ̀t̪áŋà ŋə̀ðìnɔ́ŋú ùnɛ́ɾɛ́,n/a,e d̪ ɛ n t̪ a ŋ a ŋ v i n o o ʊ n e ɾ,train
ídɔ̀ŋt̪áŋà ŋìðìnɔ́ŋù ùnɛ́ɾɛ́,rídɔ̀t̪áŋà ŋə̀ðìnɔ́ŋú ùnɛ́ɾɛ́,n/a,e d̪ a ŋ t̪ a ŋ ð n e ʊ n e ɾ e,train
ádɔ̀ŋt̪íŋì ŋìðìnɔ́ŋù ùnɛ́ɾɛ́,ádɔ̀ŋðɔ́íŋì ŋə̀ðìnɔ́ŋú ùnɛ́ɾɛ́,You sent for me the hare yesterday,a d a ŋ t̪ i ŋ i ŋ ð e n o ŋ ɡ o u n e r e,train
ádɔ̀ŋt̪íŋì ŋìðìnɔ́ŋù ùnɛ́ɾɛ́,ádɔ̀ŋðɔ́íŋì ŋə̀ðìnɔ́ŋú ùnɛ́ɾɛ́,n/a,a d ə ŋ t̪ i ŋ ɪ ŋ ð n o n ɛ r e,train
làdɔ́ŋnɛ̀ nìðìnɔ́ŋù ùnɛ̀ɾɛ̀,làdɔ̀ŋɔ̀nɛ̀ nə̀ðìnɔ́ŋú ùnɛ́ɾɛ́,They sent the hare yesterday,l a d ɔ ŋ ð e ŋ ð n o o n e r e,train
ídɔ̀ŋt̪áŋà ŋìðìnɔ́ ùnɛ́ɾɛ́,rídɔ̀t̪áŋà ŋə̀ðìnɔ́ ùnɛ́ɾɛ́,I sent for you the hare yesterday,ɪ d o n t ɛ ŋ ɛ ŋ ð ə n o u n ɛ r e,train
ídɔ̀ŋt̪á ŋìðìnɔ́ ùnɛ́ɾɛ́,dɔ̀ŋðá ŋə̀ðìnɔ́ ùnɛ́ɾɛ́,I sent the hare yesterday,e d ɛ n t̪ ɛ ŋ ð ə n o ʊ n ɛ ɾ i,train
jít̪ɔ́ lí lɛ́lɔ́ɽǎ,jít̪ɔ́ ìlí lɛ́ lɔ́ɽà,"""I came to speak with you""",i e t̪ o l ɪ l ə l o l a,train
jít̪ɔ́ lí llɔ́ɽǎ,jít̪ɔ́ ìlí lə́lɔ̀ɽà,"""I came to speak with you""",e t a l i l o l a,train
jít̪ɔ́ lí llɔ́ɽǎ,jít̪ɔ́ ìlí lə́lɔ̀ɽà,n/a,i e t̪ o l ɪ l o ɾ a,train
jít̪ɔ́ lí llɔ́ɽǎ,jít̪ɔ́ ìlí lə́lɔ̀ɽà,n/a,i e t̪ o l i l o ɾ a,train
jít̪ɔ́ lí llɔ́ɽǎ,jít̪ɔ́ ìlí lə́lɔ̀ɽà,n/a,i e t̪ o l i l o ɾ a,train
ŋìðìní kə̀rə̀mná,ŋìðɛ̀ní kə̀r̀nà,"""the hare is very weak""",n i ð i n e k r m n a,train
kàɾú ŋgàó ŋgàjájât̪à ɛ̀ðɛ̀,kàɾó ŋgà ŋgá ájàt̪à ɛ̀ðɛ̀,"""he said you have been eating all his meat""",k a ɾ o ɡ o ɡ a j e e t̪ a i d̪ e,train
ŋgàó ŋgàjájât̪ǎ ɛ̀ðɛ̀,ŋgà ŋgá ájàt̪à ɛ̀ðɛ̀,you have been eating all his meat,ɡ o ɡ a j a j a t̪ a e d̪ e,train
íŋgánɔ́nà dòrèɲà nd̪ɔ̀bà,íŋgá nɔ́nà dòɾèɲà nd̪ɔ̀bà,I will see the mountain tomorrow,e ŋ ɡ a n a n a d o r ɲ a n d̪ a v a,train
íŋgánɔ́nà dòrèɲà nd̪ɔ̀bà,íŋgá nɔ́nà dòɾèɲà nd̪ɔ̀bà,n/a,e ŋ ɡ a n a n a d o r ɲ a n d̪ a v a,train
íŋgánɔ́nà lèdéɲá nd̪ɔ̀bà,íŋgá nɔ́nà lèdéɲá nd̪ɔ̀bà,I will see the coconut tomorrow,e ŋ ɡ a a n a l e d e ɲ a n d̪ a v a,train
íŋgánɔ́nà lèdéɲá nd̪ɔ̀bà,íŋgá nɔ́nà lèdéɲá nd̪ɔ̀bà,n/a,e ŋ ɡ a l o n a l e d̪ i ɲ a n d̪ a v a,train
íŋgánɔ́nà lèdéɲá nd̪ɔ̀bà,íŋgá nɔ́nà lèdéɲá nd̪ɔ̀bà,n/a,ɡ a n a n a l i d e ɲ n d̪ a v a,train
íŋgánɔ́nà lèdéɲá nd̪ɔ̀bà,íŋgá nɔ́nà lèdéɲá nd̪ɔ̀bà,n/a,e ŋ ɡ a n a l e d̪ e ɲ a n d̪ o v a,train
íŋgánɔ́nà lèdéɲá nd̪ɔ̀bà,íŋgá nɔ́nà lèdéɲá nd̪ɔ̀bà,n/a,e ŋ ɡ o n l e d e ɲ a n d̪ o v a,train
kàvɛ̀lɛ̀ðɔ́ édɔ̀ɽɔ́,ká və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀,He pulled the roots,k v l e ð a i d o l o,train
kàvɛ̀lɛ̀ðɔ́ édɔ̀ɽɔ̀,ká və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀,He pulled the roots,k v l e ð a i d o l o,train
kàvɛ̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ ùnɛ̀ɾɛ̀,ká və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ ùnɛ́ɾɛ́,He pulled the roots yesterday,k v l ɪ ð a i ð o l o ʊ n e r e,train
kàvɛ̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ ùnɛ̀ɾɛ̀,ká və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ ùnɛ́ɾɛ́,n/a,k a b l ɛ ð a i ð o l a ʊ n a ɾ ə,train
ðɛ́vɛ́lɛ́ðá édɔ̀ɽɔ̀ ðìcə̀lò,ðə́və́lɛ́ðá édɔ̀ɽɔ̀ ðìcə̀lò,To pull roots is good,ð e v l e ð a i d̪ o l o v e c l o,train
ðɛ́vɛ́lɛ́ðá édɔ̀ɽɔ̀ ðìcə̀lò,ðə́və́lɛ́ðá édɔ̀ɽɔ̀ ðìcə̀lò,n/a,ð e v l ɛ ð ə i d a l o v ə ʃ ə l o,train
ðɛ́vɛ́lɛ́ðá édɔ̀ɽɔ̀ ðìcə̀lò,ðə́və́lɛ́ðá édɔ̀ɽɔ̀ ðìcə̀lò,n/a,b e v l i ð a i d e l t̪ e ʃ i l,train
ðɛ́vɛ́lɛ́ðá édɔ̀ɽɔ̀ ðə̀bɽà,ðə́və́lɛ́ðá édɔ̀ɽɔ̀ ðə̀ɽà,To pull roots is hard,ð ɛ v l ɪ ð a i d o l o ð ə b l o,train
ðɛ́vɛ́lɛ́ðá édɔ̀ɽɔ̀ ðə̀bɽà,ðə́və́lɛ́ðá édɔ̀ɽɔ̀ ðə̀ɽà,n/a,ð ɛ v l ɪ ð e d o l a ð ə b l a,train
lɛ̀və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀,lə̀və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀,They pulled the roots,l e v l e ð a ð o l o,train
làvə́lɛ̀ðɛ̀ édɔ̀ɽɔ̀,là və́lɛ̀ðɛ̀ édɔ̀ɽɔ̀,They pulled the roots (and left),l a v l ɛ ð d̪ d ə l o,train
lɛ̀və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀,lə̀və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀,n/a,ɔ l v l e ð a ð d ɔ r ə,train
làmìɲí ðɛ́və́lɛ́ðá édɔ̀ɽɔ̀,làmìɲí ðə́və́lɛ́ðá édɔ̀ɽɔ̀,They like to pull roots,l a m ɲ i ð b l e ð a e ð o l,train
làmìɲí ðɛ́və́lɛ́ðá édɔ̀ɽɔ̀,làmìɲí ðə́və́lɛ́ðá édɔ̀ɽɔ̀,n/a,l a m ɲ e ð v l e ð a e ð o l o,train
lámìɲí ðɛ́və́lɛ́ðá édɔ̀ɽɔ̌,lámìɲí ðə́və́lɛ́ðá édɔ̀ɽɔ̀,They liked pulling the roots (but left),l a m e ð v l ð ə ð o l a,train
lámìɲí ðɛ́və́lɛ́ðá édɔ̀ɽɔ̌,lámìɲí ðə́və́lɛ́ðá édɔ̀ɽɔ̀,n/a,l a m ɲ i ð e v ð e d̪ o l o,train
lámìɲí ðɛ́və́lɛ́ðá édɔ̀ɽɔ̌,lámìɲí ðə́və́lɛ́ðá édɔ̀ɽɔ̀,n/a,l a m ɲ e ð e v l e ð a j ð o ɾ o,train
lámìɲí ðɛ́və́lɛ́ðá édɔ̀ɽɔ̀,lámìɲí ðə́və́lɛ́ðá édɔ̀ɽɔ̀,They liked pulling the roots (but left),l a m e r b l e ð a i ð o l,train
