,src,ref,mBART_hand_label_pred,canary_pred
362,àpɾí jɛ̀rcɜ̀cí ðíjá ɛ́ðɛ̀,the boy tried to eat the meat,the boy is eating the meat,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1690, 1160, 1327, 2039, 1446, 1301, 1638, 1547, 2048]), text='The boy taught me food.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
363,jâmìɲíl jíl íjà,I like to eat it,I like to eat it,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1521, 1331, 1221, 1175, 1185, 1320]), text='I like to eat it', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
364,ɛ̀ðɛ̀ jámìɲíl kúkù jǎŋ íjà jàmì,The meat that Kuku likes is tasty,I made Kuku eat my own meat,"Hypothesis(score=0.0, y_sequence=tensor([1712, 1475, 1282, 2034, 1358, 2032, 2049, 2032, 1258, 1521, 1331, 1221,
        1175, 1185]), text='his friend Kuku I like to eat', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
365,kúkù kìjɔ́ ɛ́ðɛ̀ jɛ́ŋgìð,Kuku ate the meat raw,Kuku ate meat raw,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1157, 1193, 1301, 1185, 2043, 1258, 1317, 2044,
        1320]), text='Kuku ate meat, I saw it', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
366,ìjɔ́l kúkù jɛ́ŋgìð,Kuku ate it raw,Kuku ate it raw,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1157, 1193, 1358, 2032, 2049, 2032, 2051, 2027, 1301, 1185]), text=""I ate Kuku's meat"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
367,ábút̪ɔ́ t̪ɔ̀wə̀nì,Climb up now! (speaker on the ground),Climb up now! (away),"Hypothesis(score=0.0, y_sequence=tensor([1285, 1566, 1901, 2117, 2023, 2122, 2041, 1174, 2121]), text='Dance now! (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
368,àbùt̪á t̪ɔ̀wə̀nì,Climb up now! (speaker in the tree),Dance now! (far away),"Hypothesis(score=0.0, y_sequence=tensor([1408, 1170, 1177, 1901, 2117, 2023, 2122, 2041, 1174, 2121]), text='Visit now! (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
369,pínɔ́ t̪ɔ̀wə̀nì,Be beaten now!,‘Break the pot now! (far)’,"Hypothesis(score=0.0, y_sequence=tensor([1263, 1185, 1901, 2117, 2023, 2122, 2041, 1174, 2121]), text='beat now! (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
370,pìnɔ́ t̪ɔ̀wə̀nì,Be beaten now! (far),‘Press something now!’,"Hypothesis(score=0.0, y_sequence=tensor([1263, 1185, 1901, 2117, 2023, 2122, 2041, 1174, 2121]), text='beat now! (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
371,kə́lcí àvɟègɛ̀,Spread the mat!,Spread the mat!,"Hypothesis(score=0.0, y_sequence=tensor([1215, 2038, 1167, 1212, 1203, 1169, 1185, 2117]), text='Spread the mat!', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
372,kə̀lcá àvɟègɛ̀,Spread the mat! (far),spread the mat (far),"Hypothesis(score=0.0, y_sequence=tensor([1215, 2038, 1167, 1212, 1203, 1169, 1185, 2117]), text='Spread the mat!', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
373,làkə́lcì àvɟègɛ̀,They spread the mat (and left),They spread the mat,"Hypothesis(score=0.0, y_sequence=tensor([1753, 2045, 1172, 1379, 1610, 1167, 1212, 1203, 1169, 1185]), text='They will spread the mat', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
374,úɽcí t̪ɔ̀wə̀nì,Jump now! (away),Jump now!,"Hypothesis(score=0.0, y_sequence=tensor([1387, 1261, 2038, 1901, 2117, 2023, 2122, 2041, 1174, 2121]), text='Jump now! (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
375,ùɽcá t̪ɔ̀wə̀nì,Jump now! (far/towards),Jump now! (away),"Hypothesis(score=0.0, y_sequence=tensor([1387, 1261, 2038, 1901, 2117, 2023, 2122, 2041, 1174, 2121]), text='Jump now! (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
376,rmàn rìcə̀lò,The legs are good.,The leg is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1240, 2039, 2027, 1480, 1451, 1547, 2048]), text='The legs are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
377,ŋúɽî ŋìcə̀lò,The axe is good.,The axe is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1157, 2054, 1156, 1480, 1451, 1547, 2048]), text='The axes are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
378,èdɛ̀ɽì kìcə̀lò,The herb is good.,the girl is good,"Hypothesis(score=0.0, y_sequence=tensor([1697, 2023, 2122, 1465, 1192, 2121, 1189, 2035, 1195, 1239, 1451, 1547]), text='our (dual) uncle is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
379,lídí lìcə̀lò,The pot is good.,That pot is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1415, 2029, 1239, 1451, 1547]), text='The pot is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
380,ŋídí nìcə̀lò,The pots are good.,The pots are good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1341, 1891, 2027, 1480, 1451, 1547, 2048]), text='The troughs are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
381,ʊ̀mí kìcə̀lò,The bell is good.,The knife is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1263, 1214, 1239, 1451, 1547, 2048]), text='The bell is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
382,nʊ̀mí nìcə̀lò,The bells are good.,The stones are good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1190, 1170, 2036, 1156, 1480, 1451, 1547, 2048]), text='The fishes are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
383,gʊ̀bʊ̂l kìcə̀lò,The pumpkins are good.,The pumpkin is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1162, 1261, 2038, 2049, 1159, 1239, 1451, 1547, 2048]), text='The pumpkin is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
384,àɽà kìcə̀lò,The goat's milk is good.,This one is good.,"Hypothesis(score=0.0, y_sequence=tensor([1697, 2023, 2122, 2024, 2054, 1590, 2121, 1191, 1209, 1711, 1239, 1451,
        1547]), text='our (excl) brother is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
385,àlkúrcì jìcə̀lò,The money is good.,The cloth is good.,"Hypothesis(score=0.0, y_sequence=tensor([1315, 1505, 1219, 1340, 1157, 1522, 1331, 2045, 1239, 1451, 1547]), text='Calling for a monkey is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
386,ájà kìcə̀lò,The mother is good.,The mother is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1393, 1711, 1239, 1451, 1547, 2048]), text='The mother is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
387,cʊ̀mú cìcə̀lò,The scorpion is good.,The scorpion is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1158, 2035, 1179, 2038, 1226, 1239, 1451, 1547, 2048]), text='The scorpion is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
388,dìjɔ́ rìcə̀lò,The cow is good.,The cow is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1164, 1335, 1239, 1451, 1547, 2048]), text='The cow is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
389,ìrɔ́ jìcə̀lò,The hairs are good.,The hairs are good.,"Hypothesis(score=0.0, y_sequence=tensor([1315, 1335, 2027, 1480, 1181, 1703]), text='Cows are nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
390,dún kìcə̀lò,The home is good.,The house is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1854, 2024, 1239, 1451, 1547, 2048]), text='The home is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
391,ɛ̀là kìcə̀lò,The mushroom is good.,the farmer is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1164, 1271, 1195, 2134, 2039, 1261, 1239, 1451, 1547, 2048]), text='The candle/gum is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
392,ɛ́ɾɛ́ kìcə̀lò,The fence is good.,The fence is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1450, 1811, 1239, 1451, 1547, 2048]), text='The stone is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
393,ìlí jìcə̀lò,The market is good.,The market is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1571, 2049, 1229, 1239, 1451, 1547]), text='The market is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
394,èmàð kìcə̀lò,The friend is good.,This friendship is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1417, 1155, 1239, 1451, 1547, 2048]), text='The peer is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
395,ìndò ìcə̀lò,The drum is good.,The drum is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1154, 2030, 1261, 1239, 1181, 1703]), text='The drum is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
396,íɾí kìcə̀lò,The trough is good.,I am good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1341, 1891, 1239, 1451, 1547, 2048]), text='The trough is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
397,ìɾí kìcə̀lò,The name is good.,This trough is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1341, 1891, 1239, 1451, 1547, 2048]), text='The trough is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
398,ǹdrí nìcə̀lò,The names are good.,The knives are good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1335, 2033, 2027, 1480, 1181, 1703]), text='The bowls are nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
399,ìjɔ̀ ìcə̀lò,The shepherd is good.,The beer is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1934, 2038, 1679, 2034, 1239, 1181, 1703]), text='The shepherd is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
400,kámàɽà kìcə̀lò,The friend (casual) is good.,The friend is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1475, 1282, 2034, 2027, 2023, 2122, 2035, 1178, 1990, 2121, 1480,
        1451, 1547]), text='The friends (casual) are good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
401,kárò kìcə̀lò,The cart is good.,Car is good,"Hypothesis(score=0.0, y_sequence=tensor([1358, 1174, 2032, 1239, 1451, 1547]), text='Karu is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
402,ŋàɽà ŋìcə̀lò,The candles/gums are good,the candles are good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1164, 1271, 1641, 1480, 1181, 1703]), text='The candles are nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
403,lán lìcə̀lò,The (drop of) milk is good.,The candle is good.,"Hypothesis(score=0.0, y_sequence=tensor([1856, 1170, 1624, 1239, 1451, 1547, 2048]), text='This one is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
404,ŋán ŋìcə̀lò,The milk is good.,charcoals are good,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1169, 1202, 2036, 1209, 1197, 2027, 1480, 1181, 1703]), text='the mushrooms are nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
405,lə́vcí kìcə̀lò,The cover is good.,Stealing is good.,"Hypothesis(score=0.0, y_sequence=tensor([1610, 1167, 1212, 1219, 1203, 1169, 1185, 1239, 1451, 1547]), text='spreading the mat is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
406,lípíjó lìcə̀lò,The mushroom sp. is good.,The mushroom sp. are good,"Hypothesis(score=0.0, y_sequence=tensor([1279, 2028, 1350, 2028, 1239, 1451, 1547]), text='Lippi is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
407,lə̀t̪ɾì lìcə̀lò,The skirt is good.,This Tira person is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1158, 2049, 1213, 2029, 1239, 1451, 1547, 2048]), text='The skirt is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
408,lʊ̀tú lìcə̀lò,The fist/small house (hut) is good.,The fist is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1190, 1463, 1239, 1451, 1547]), text='The fist is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
409,ɔ̀ɽàt̪à jə̀cə̀lò,The light is good.,The candles are good.,"Hypothesis(score=0.0, y_sequence=tensor([1315, 2033, 1266, 2040, 1154, 2013, 1239, 1451, 1547]), text='Climb down is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
410,ɔ̀ɾì kìcə̀lò,The water is good.,The trough is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1227, 2045, 1239, 1451, 1547, 2048]), text='The baby is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
411,ɔ̌j kìcə̀lò,The bee/honey is good.,my mother is good,"Hypothesis(score=0.0, y_sequence=tensor([1646, 1364, 1239, 1181, 1703]), text='today is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
412,lǎj lìcə̀lò,The bees/honeys are good.,mother is good,"Hypothesis(score=0.0, y_sequence=tensor([1157, 2045, 1239, 1181, 1703]), text='ay is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
413,ʊ̀mì kìcə̀lò,The fish is good.,The fist is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1190, 1170, 2036, 1239, 1451, 1547, 2048]), text='The fish is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
414,nʊ̀mì nìcə̀lò,The fish are good.,The stones are good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1362, 1590, 1162, 1234, 2029, 2006, 1480, 1451, 1547, 2048]), text='The excl pictures are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
415,ònì kìcə̀lò,The basket (made of palm leaves & sticks) is good.,This one is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1709, 2049, 1229, 1239, 1451, 1547, 2048]), text='The basket is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
416,rɽò rìcə̀lò,The goat is good.,The goats are good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1451, 1185, 1239, 1451, 1547, 2048]), text='The goat is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
417,èɽò jə̀cə̀lò,The goats are good.,The goats are good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1221, 2038, 1239, 1451, 1547, 2048]), text='The top is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
418,ìŋɔ̀ jìcə̀lò,The snakes are good.,The raindrops are good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1158, 2025, 2026, 1331, 1239, 1451, 1547]), text='The snake is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
419,tá lìcə̀lò,The head is good.,This palm tree is good.,"Hypothesis(score=0.0, y_sequence=tensor([1998, 1490, 1253, 2107, 1753, 1450, 1179, 2045, 1239, 1451, 1547, 2048]), text='Parts of: The story is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
420,ŋtá ŋìcə̀lò,The heads are good.,The power is good.,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1239, 1181, 1703]), text='Kuku is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
421,ùɽɔ́ kìcə̀lò,The guinea fowl is good.,The spider is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1213, 2034, 1239, 1451, 1547, 2048]), text='The bird is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
422,ltɔ́ lìcə̀lò,The guinea fowls are good.,The rain is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1294, 1213, 2026, 1417, 1918, 1480, 1451, 1547, 2048]), text='The Tira people are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
423,ùɽùwɔ̀ kìcə̀lò,The bird/spirit is good.,The bird/spirit is good.,"Hypothesis(score=0.0, y_sequence=tensor([1191, 1213, 2034, 2092, 2027, 1391, 1791, 1239, 1451, 1547]), text='bird’s heart is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
424,ùlɔ́ kìcə̀lò,The flour is good.,The top is good.,"Hypothesis(score=0.0, y_sequence=tensor([1190, 2033, 1237, 1239, 1451, 1547]), text='flour is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
